# Analysis Group Name : Default Analysis Group
# Description : Including all applicable data files.
# Created By :dalesan@gmail.com
# Last Modified Date : 2016-12-14 05:29:49 PM
# Number of Experiments in Analysis Group : 1
# List of instrument types in the study that are imported : QuantStudio 7 Real-Time PCR System
# Normalization method : Endogenous Control = EF1A,UBC21
# Reference Sample : KOC
# Reference Group : 
# Max CT : 40.0
# Confidence Level : 95.0

"Experiment Name","Barcode","Well","Biological Group Name","Sample Name","Target Name","Task","Amp Score","Amp Status","Cq Conf","Target Efficiency","Cq","Cq (Post IC)","Eq. Cq","Quantity","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline Stop","Tm1","Tm2","Tm3","Cq Mean","Cq SE","Intercept","R-Squared","Slope","Efficiency","Omit","FLAGS","AMPNC","AMPSCORE","BADROX","OFFSCALE","NOAMP","NOISE","SPIKE","NOSIGNAL","NOSAMPLE","EXPFAIL","BLFAIL","THOLDFAIL","CTFAIL","HIGHSD","OUTLIERRG","MAXCT","MPOUTLIER","MTP or TM","LOWROX","PRFLOW","PRFDROP","DRNMIN","CQCONF",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A1","","WTC","EF1A","UNKNOWN","0.9055437","Amp","0.9309227","100.0","20.221483","20.221483","20.221483","-","true","0.04","true","3.0","17.0","76.89531","-","-","20.444849","0.08537865","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A2","","KOC","EF1A","UNKNOWN","0.89639705","Amp","0.9527481","100.0","19.836111","19.836111","19.836111","-","true","0.04","true","3.0","16.0","77.02684","-","-","19.95913","0.15258299","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A3","","OXC","EF1A","UNKNOWN","0.8996286","Amp","0.96563506","100.0","20.989912","20.989912","20.989912","-","true","0.04","true","3.0","18.0","77.02684","-","-","20.595488","0.18146713","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A4","","WTS","EF1A","UNKNOWN","0.90953064","Amp","0.9478194","100.0","20.992767","20.992767","20.992767","-","true","0.04","true","3.0","18.0","77.02684","-","-","21.010674","0.2275586","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A5","","KOS","EF1A","UNKNOWN","0.9138101","Amp","0.96017516","100.0","21.141434","21.141434","21.141434","-","true","0.04","true","3.0","18.0","77.02684","-","-","20.80746","0.17158726","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A6","","OXS","EF1A","UNKNOWN","0.9149381","Amp","0.95929825","100.0","20.480022","20.480022","20.480022","-","true","0.04","true","3.0","17.0","77.02684","-","-","20.897165","0.18396592","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A7","","No Sample","EF1A","NTC","0.0","No Amp","0.0","100.0","Undetermined","Undetermined","Undetermined","-","true","0.04","true","3.0","39.0","72.42345","77.02684","91.626144","-","-","-","-","-","-","false","2.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A8","","WTC","SESA4","UNKNOWN","0.9166191","Amp","0.9429745","100.0","30.368128","30.368128","30.368128","-","true","0.04","true","3.0","27.0","76.89531","-","-","31.150429","0.42225367","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A9","","KOC","SESA4","UNKNOWN","0.9258422","Amp","0.9477514","100.0","28.089123","28.089123","28.089123","-","true","0.04","true","3.0","25.0","76.89531","-","-","28.62054","0.26059675","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
"2016-12-14 123426 - newscl30aDEGsPart1.eds","","A10","","OXC","SESA4","UNKNOWN","0.91983443","Amp","0.941506","100.0","31.050638","31.050638","31.050638","-","true","0.04","true","3.0","28.0","76.89531","-","-","30.788279","0.13039483","-","-","-","-","false","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0",
