Sample,Detector,Cq
WTS,ef1a,20.992767
WTS,ef1a,21.377073
WTS,ef1a,21.297998
WTS,ef1a,20.374851
KOS,ef1a,21.141434
KOS,ef1a,20.581652
KOS,ef1a,21.05746
KOS,ef1a,20.4493
OXS,ef1a,20.480022
OXS,ef1a,21.268831
OXS,ef1a,21.135477
OXS,ef1a,20.70433
WTS,sesa4,26.21004
WTS,sesa4,26.589457
WTS,sesa4,26.695082
WTS,sesa4,25.868092
KOS,sesa4,26.04132
KOS,sesa4,25.621141
KOS,sesa4,25.775919
KOS,sesa4,25.530418
OXS,sesa4,25.014164
OXS,sesa4,25.961985
OXS,sesa4,27.623802
OXS,sesa4,27.374199
WTS,m17,19.713888
WTS,m17,19.987028
WTS,m17,20.049212
WTS,m17,19.41843
KOS,m17,18.963818
KOS,m17,18.651348
KOS,m17,19.472235
KOS,m17,19.077938
OXS,m17,20.073524
OXS,m17,21.057997
OXS,m17,21.716372
OXS,m17,21.192953
WTS,ubc21,27.348108
WTS,ubc21,27.787342
WTS,ubc21,27.60446
WTS,ubc21,26.993753
KOS,ubc21,27.39109
KOS,ubc21,27.061806
KOS,ubc21,27.536478
KOS,ubc21,27.216835
OXS,ubc21,26.965292
OXS,ubc21,27.555017
OXS,ubc21,27.743113
OXS,ubc21,27.452354
WTS,epr1,27.229836
WTS,epr1,27.548357
WTS,epr1,27.91404
WTS,epr1,27.165741
KOS,epr1,27.647726
KOS,epr1,27.265995
KOS,epr1,27.503445
KOS,epr1,27.312078
OXS,epr1,26.924782
OXS,epr1,27.937725
OXS,epr1,29.567337
OXS,epr1,28.93488
WTS,retro,37.307724
WTS,retro,34.919437
WTS,retro,35.77885
WTS,retro,34.551624
KOS,retro,28.813763
KOS,retro,27.955198
KOS,retro,28.576698
KOS,retro,28.251022
OXS,retro,35.80793
OXS,retro,NA
OXS,retro,36.026566
OXS,retro,37.402412
WTS,sesa5,20.958843
WTS,sesa5,21.209816
WTS,sesa5,21.288918
WTS,sesa5,20.318174
KOS,sesa5,20.588203
KOS,sesa5,20.090363
KOS,sesa5,20.656301
KOS,sesa5,20.38522
OXS,sesa5,20.69176
OXS,sesa5,20.861908
OXS,sesa5,22.366285
OXS,sesa5,22.229126
WTS,pecl,29.368603
WTS,pecl,28.427528
WTS,pecl,28.894829
WTS,pecl,28.081348
KOS,pecl,29.546713
KOS,pecl,29.421116
KOS,pecl,30.005232
KOS,pecl,29.558159
OXS,pecl,27.849968
OXS,pecl,28.45407
OXS,pecl,27.975683
OXS,pecl,27.362484
WTS,dormaux,30.559467
WTS,dormaux,30.891207
WTS,dormaux,30.830227
WTS,dormaux,29.995613
KOS,dormaux,29.296156
KOS,dormaux,28.402758
KOS,dormaux,29.37481
KOS,dormaux,28.656101
OXS,dormaux,29.592945
OXS,dormaux,30.344233
OXS,dormaux,31.620035
OXS,dormaux,31.392267
WTS,cru3,21.685953
WTS,cru3,21.961628
WTS,cru3,21.956757
WTS,cru3,21.355598
KOS,cru3,20.80881
KOS,cru3,20.456835
KOS,cru3,21.069225
KOS,cru3,20.721817
OXS,cru3,21.50677
OXS,cru3,22.201471
OXS,cru3,23.43168
OXS,cru3,23.289047
