# Analysis Group Name : Default Analysis Group
# Description : Including all applicable data files.
# Created By :dalesan@gmail.com
# Last Modified Date : 2016-11-30 10:02:51 AM
# Number of Experiments in Analysis Group : 1
# List of instrument types in the study that are imported : QuantStudio 7 Real-Time PCR System
# Normalization method : Endogenous Control = ACT2
# Reference Sample : KOC
# Reference Group : 
# Max CT : 40.0
# Confidence Level : 95.0

"Sample Name","Target Name","Mean Equivalent Cq","Mean Adjusted Equivalent Cq","Sigma Equivalent Cq","Mean DCq","DCq SE","Mean L-Quant","Mean Adjusted L-Quant","Sigma L-Quant","Mean N-Quant","Sigma N-Quant","F Factor","Rq","Rq Min","Rq Max","DDCq","DDCq - Fsigma","DDCq + Fsigma",
"KOC","ACT2","23.24","23.24","0.721","-","-","1.00908935E-7","1.00908935E-7","0.607","-","-","-","-","-","-","-","-","-",
"KOC","DNAB","27.964","27.964","0.182","4.723","0.744","3.819689E-9","3.819689E-9","0.881","0.038","0.597","2.447","1.0","0.283","3.53","0.0","-1.82","1.82",
"KOC","EF1A","18.834","18.834","0.113","-4.406","0.73","2.139527E-6","2.139527E-6","0.925","21.203","0.603","2.447","1.0","0.29","3.448","0.0","-1.786","1.786",
"KOC","GAPDH","24.04","24.04","0.16","0.8","0.739","5.7960282E-8","5.7960282E-8","0.895","0.574","0.599","2.571","1.0","0.268","3.728","0.0","-1.898","1.898",
"KOC","KU70","26.793","26.793","0.3","3.553","0.781","8.6003E-9","8.6003E-9","0.812","0.085","0.582","2.447","1.0","0.266","3.76","0.0","-1.911","1.911",
"KOC","PP2AA","27.316","27.316","0.188","4.076","0.745","5.985173E-9","5.985173E-9","0.878","0.059","0.597","2.447","1.0","0.283","3.539","0.0","-1.823","1.823",
"KOC","UBC21","24.702","24.702","0.332","1.462","0.794","3.6633967E-8","3.6633967E-8","0.795","0.363","0.577","2.447","1.0","0.26","3.842","0.0","-1.942","1.942",
"KOS","ACT2","25.403","25.403","0.354","-","-","2.2541226E-8","2.2541226E-8","0.782","-","-","-","-","-","-","-","-","-",
"KOS","DNAB","28.889","28.889","0.057","3.486","0.359","2.011403E-9","2.011403E-9","0.961","0.089","0.78","2.447","2.357","1.283","4.332","-1.237","-2.115","-0.359",
"KOS","EF1A","20.011","20.011","0.045","-5.392","0.357","9.4654996E-7","9.4654996E-7","0.97","41.992","0.781","2.447","1.981","1.081","3.628","-0.986","-1.859","-0.112",
"KOS","GAPDH","25.2","25.2","0.151","-0.203","0.385","2.5947381E-8","2.5947381E-8","0.901","1.151","0.766","2.447","2.004","1.043","3.851","-1.003","-1.945","-0.061",
