Sample Detector Cq
WTC ACT2 23.32004
KOC ACT2 23.559605
OXC ACT2 24.16251
WTS ACT2 25.578875
KOS ACT2 25.780334
OXS ACT2 24.63459
WTC PP2AA 27.588614
KOC PP2AA 27.567085
OXC PP2AA 29.05765
WTS PP2AA 28.29872
KOS PP2AA 28.37919
OXS PP2AA 27.67762
WTC ACT2 24.631985
KOC ACT2 21.781157
OXC ACT2 22.988745
WTS ACT2 25.52426
KOS ACT2 25.759336
OXS ACT2 25.581844
WTC PP2AA 26.98065
KOC PP2AA 27.167192
OXC PP2AA 28.406092
WTS PP2AA 28.381441
KOS PP2AA 28.19646
OXS PP2AA 28.776476
WTC ACT2 23.787344
KOC ACT2 25.105993
OXC ACT2 23.148695
WTS ACT2 25.984974
KOS ACT2 24.34081
OXS ACT2 25.297022
WTC PP2AA 28.168907
KOC PP2AA 26.855175
OXC PP2AA 28.002136
WTS PP2AA 28.494324
KOS PP2AA 28.439096
OXS PP2AA 28.759832
WTC ACT2 23.488676
KOC ACT2 22.515017
OXC ACT2 23.46552
WTS ACT2 25.544168
KOS ACT2 25.730953
OXS ACT2 24.769133
WTC PP2AA 28.144094
KOC PP2AA 27.674387
OXC PP2AA 28.351023
WTS PP2AA 28.488955
KOS PP2AA 28.414892
OXS PP2AA 28.639294
WTC GAPDH 23.906244
KOC GAPDH NA
OXC GAPDH 24.584482
WTS GAPDH 25.034822
KOS GAPDH 25.085432
OXS GAPDH 24.234228
WTC DNAB 27.871908
KOC DNAB 27.629126
OXC DNAB 28.711332
WTS DNAB 28.639496
KOS DNAB 28.84221
OXS DNAB 28.00646
WTC GAPDH 23.609283
KOC GAPDH 23.798637
OXC GAPDH 24.453669
WTS GAPDH 25.139145
KOS GAPDH 24.932648
OXS GAPDH 25.243095
WTC DNAB 27.044472
KOC DNAB 27.88456
OXC DNAB 28.152397
WTS DNAB 29.069008
KOS DNAB 28.98225
OXS DNAB 28.980053
WTC GAPDH 24.126467
KOC GAPDH 24.34264
OXC GAPDH 23.901636
WTS GAPDH 25.324646
KOS GAPDH 25.63205
OXS GAPDH 25.202581
WTC DNAB 28.111948
KOC DNAB 28.483152
OXC DNAB 27.91002
WTS DNAB 28.974045
KOS DNAB 28.98291
OXS DNAB 29.14837
WTC GAPDH 23.6645
KOC GAPDH 23.979803
OXC GAPDH 24.133093
WTS GAPDH 25.234821
KOS GAPDH 25.149214
OXS GAPDH 24.611618
WTC DNAB 28.121298
KOC DNAB 27.858753
OXC DNAB 28.254343
WTS DNAB 28.535517
KOS DNAB 28.749231
OXS DNAB 28.699945
WTC UBC21 25.574923
KOC UBC21 25.408363
OXC UBC21 25.882069
WTS UBC21 26.457718
KOS UBC21 26.31196
OXS UBC21 25.777084
WTC EF1A 18.973385
KOC EF1A 18.589098
OXC EF1A 19.621775
WTS EF1A 19.984869
KOS EF1A 20.110403
OXS EF1A 19.650991
WTC UBC21 23.71027
KOC UBC21 25.106602
OXC UBC21 25.526642
WTS UBC21 26.596525
KOS UBC21 26.188374
OXS UBC21 26.455757
WTC EF1A 19.00974
KOC EF1A 18.73573
OXC EF1A 19.312622
WTS EF1A 20.165949
KOS EF1A 19.942852
OXS EF1A 20.39417
WTC UBC21 26.00921
KOC UBC21 24.003954
OXC UBC21 25.486433
WTS UBC21 26.369114
KOS UBC21 25.56306
OXS UBC21 26.39292
WTC EF1A 19.257774
KOC EF1A 19.117348
OXC EF1A 19.106972
WTS EF1A 20.309288
KOS EF1A 20.061285
OXS EF1A 20.084726
WTC UBC21 25.230953
KOC UBC21 24.290052
OXC UBC21 25.523048
WTS UBC21 26.277313
KOS UBC21 26.275887
OXS UBC21 25.957106
WTC EF1A 19.024189
KOC EF1A 18.894932
OXC EF1A 19.287271
WTS EF1A 19.976395
KOS EF1A 19.928732
OXS EF1A 19.705954
WTC KU70 26.826406
KOC KU70 26.305477
OXC KU70 27.275347
WTS KU70 26.967407
KOS KU70 27.107655
OXS KU70 26.432682
WTC KU70 26.983162
KOC KU70 26.243244
OXC KU70 27.281982
WTS KU70 27.239374
KOS KU70 27.05879
OXS KU70 27.144611
WTC KU70 26.973885
KOC KU70 27.325724
OXC KU70 27.043428
WTS KU70 27.329453
KOS KU70 27.361477
OXS KU70 27.419304
WTC KU70 27.230913
KOC KU70 27.297419
OXC KU70 27.129156
WTS KU70 26.907427
KOS KU70 27.230524
OXS KU70 27.108616
