AT1G01010	NAC001	NAC domain containing protein 1	false
AT1G01020	ARV1	ARV1 family protein	false
AT1G01030	NGA3	AP2/B3-like transcriptional factor family protein	false
AT1G01040	DCL1	dicer-like 1	false
AT1G01046	MIR838A	""	false
AT1G01050	PPa1	pyrophosphorylase 1	false
AT1G01060	LHY	Homeodomain-like superfamily protein	false
AT1G01070	UMAMIT28	nodulin MtN21 /EamA-like transporter family protein	false
AT1G01073	""	""	true
AT1G01080	AT1G01080	RNA-binding (RRM/RBD/RNP motifs) family protein	false
AT1G01090	PDH-E1 ALPHA	pyruvate dehydrogenase E1 alpha	false
AT1G01100	AT1G01100	60S acidic ribosomal protein family	false
AT1G01110	IQD18	IQ-domain 18	false
AT1G01115	""	""	true
AT1G01120	KCS1	3-ketoacyl-CoA synthase 1	false
AT1G01130	AT1G01130	CBL-interacting Serine/Threonine-kinase	false
AT1G01140	CIPK9	CBL-interacting protein kinase 9	false
AT1G01150	AT1G01150	Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein	false
AT1G01160	GIF2	GRF1-interacting factor 2	false
AT1G01170	AT1G01170	ozone-responsive stress-like protein (DUF1138)	false
AT1G01180	AT1G01180	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein	false
AT1G01190	CYP78A8	cytochrome P450, family 78, subfamily A, polypeptide 8	false
AT1G01200	RABA3	RAB GTPase homolog A3	false
AT1G01210	AT1G01210	DNA-directed RNA polymerase, subunit M, archaeal	false
AT1G01220	FKGP	L-fucokinase/GDP-L-fucose pyrophosphorylase	false
AT1G01225	AT1G01225	NC domain-containing protein-like protein	false
AT1G01230	AT1G01230	ORMDL family protein	false
AT1G01240	AT1G01240	transmembrane protein	false
AT1G01250	AT1G01250	Integrase-type DNA-binding superfamily protein	false
AT1G01260	AT1G01260	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	false
AT1G01270	AT1G01270	tRNA-Gln	false
AT1G01280	CYP703A2	cytochrome P450, family 703, subfamily A, polypeptide 2	false
AT1G01290	CNX3	cofactor of nitrate reductase and xanthine dehydrogenase 3	false
AT1G01300	AT1G01300	Eukaryotic aspartyl protease family protein	false
AT1G01305	AT1G01305	hypothetical protein	false
AT1G01310	AT1G01310	CAP (Cysteine-rich secretory proteins, Antigen 5, and Pathogenesis-related 1 protein) superfamily protein	false
AT1G01320	AT1G01320	Tetratricopeptide repeat (TPR)-like superfamily protein	false
AT1G01335	AT1G01335	auxin-responsive endogenous peptide protein	false
